hpo_codes,week_description
HP:0012378,"The muscle cramps have continued this week, and they're happening more frequently. They're still mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be quite painful and sudden. It's starting to affect my daily activities. I'm also feeling more fatigued than usual. I get tired easily, even after a good night's sleep."
HP:0012378,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The muscle cramps are still happening, and they're really starting to interfere with my daily life. The fatigue has also worsened. I feel exhausted all the time, even when I haven't done much. It's frustrating, to say the least."
HP:0002315,"This week, a new symptom has joined the party: I'm experiencing frequent headaches. They're like tension headaches, a dull ache that wraps around my head. They can be quite distracting and make it hard to concentrate. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as healthy-looking as it used to be."
HP:0002225,"This week, a new symptom has joined the party: I'm experiencing frequent headaches. They're like tension headaches, a dull ache that wraps around my head. They can be quite distracting and make it hard to concentrate. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as healthy-looking as it used to be."
HP:0002299,"This week, a new symptom has joined the party: I'm experiencing frequent headaches. They're like tension headaches, a dull ache that wraps around my head. They can be quite distracting and make it hard to concentrate. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as healthy-looking as it used to be."
HP:0001324,"The muscle cramps, fatigue, headaches, and hair changes have persisted this week. On top of that, I've started experiencing muscle weakness. It's like my muscles have lost some of their strength. Simple tasks that I used to do effortlessly now feel more challenging. It's disheartening to see my body struggling."
HP:0001324,"The symptoms have intensified this week, especially the muscle weakness. It's becoming increasingly difficult to perform everyday activities. The muscle cramps are still present, and the fatigue feels like a constant weight on my shoulders. The headaches and hair changes continue as well. It's been tough, but I'm trying my best to stay positive."
HP:0002027,"This week, I've noticed a new symptom: abdominal pain. It's a dull ache that comes and goes. It's not too severe, but it's uncomfortable. The muscle cramps, fatigue, headaches, hair changes, and muscle weakness are all still there, as well. It feels like my body is going through a lot right now."
HP:0002597,"Hey, my friend! I wanted to share something that's been going on with me lately. It's been a bit of a strange week, to say the least. I've been having these muscle twitches all over my body. It's like my muscles are doing little dances on their own. It doesn't hurt, but it's definitely noticeable. My doctor thinks it might have something to do with my calcium levels."
HP:0003401,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm also experiencing tingling sensations in my fingers and toes. It's like a bunch of tiny pins and needles poking me. It's not too bothersome, but it's definitely weird. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040283,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm also experiencing tingling sensations in my fingers and toes. It's like a bunch of tiny pins and needles poking me. It's not too bothersome, but it's definitely weird. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040282,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm also experiencing tingling sensations in my fingers and toes. It's like a bunch of tiny pins and needles poking me. It's not too bothersome, but it's definitely weird. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0003401,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a mild static electricity sensation going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not too uncomfortable, but it can be a bit annoying. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040283,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a mild static electricity sensation going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not too uncomfortable, but it can be a bit annoying. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040282,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a mild static electricity sensation going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not too uncomfortable, but it can be a bit annoying. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a mild static electricity sensation going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not too uncomfortable, but it can be a bit annoying. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"The muscle cramps have continued this week, and they're happening more frequently. They're still mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be quite painful and sudden. It's starting to affect my daily activities. I'm also feeling more tired than usual. I need extra rest and naps to keep up with everything."
HP:0012378,"The muscle cramps have continued this week, and they're happening more frequently. They're still mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be quite painful and sudden. It's starting to affect my daily activities. I'm also feeling more tired than usual. I need extra rest and naps to keep up with everything."
HP:0012378,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The muscle cramps are still happening, and they're really starting to get in the way of my daily life. The fatigue has also worsened. I feel exhausted even after a good night's sleep. It's frustrating because I want to do so many things, but my body just won't cooperate."
HP:0002315,"This week, a new symptom has appeared: headaches. They're like these annoying pains in my head that won't go away. They're not too severe, but they can be distracting. Along with that, I've noticed that my hair has become thinner and more fragile. It's not as strong and healthy-looking as it used to be."
HP:0002225,"This week, a new symptom has appeared: headaches. They're like these annoying pains in my head that won't go away. They're not too severe, but they can be distracting. Along with that, I've noticed that my hair has become thinner and more fragile. It's not as strong and healthy-looking as it used to be."
HP:0002289,"This week, a new symptom has appeared: headaches. They're like these annoying pains in my head that won't go away. They're not too severe, but they can be distracting. Along with that, I've noticed that my hair has become thinner and more fragile. It's not as strong and healthy-looking as it used to be."
HP:0001808,"The muscle cramps, fatigue, headaches, and hair changes have persisted this week. It's been tough, but I'm trying my best to manage. I've also noticed that my nails are brittle and break easily. They used to be stronger, but now they're more fragile. It's just another weird thing that's happening to me."
HP:0003394,"The symptoms have intensified this week. The muscle cramps are nearly constant, and the fatigue and headaches are at their worst. It's really affecting my daily life. The hair changes and brittle nails continue, making everything even more frustrating. I'm doing my best to stay positive and not let it get me down."
HP:0002027,"This week, a new symptom has appeared: abdominal pain. It's like this dull ache in my stomach area that comes and goes. It's not too severe, but it's uncomfortable. The muscle cramps, fatigue, headaches, hair changes, and brittle nails are all still there, as well. It feels like my body is going through a lot right now."
HP:0002597,"Hello, my friend! I wanted to share something that's been happening to me recently. It's been a bit of a puzzling week, to be honest. I've been having these strange muscle twitches all over my body. It's like my muscles have a mind of their own! They come and go, and while they don't hurt, they're definitely noticeable. My doctor thinks it might have something to do with my calcium levels."
HP:0003401,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm experiencing tingling sensations in my fingers and toes. It's like a constant, mild pins-and-needles feeling. It's not too bothersome, but it's definitely odd. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040283,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm experiencing tingling sensations in my fingers and toes. It's like a constant, mild pins-and-needles feeling. It's not too bothersome, but it's definitely odd. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040282,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm experiencing tingling sensations in my fingers and toes. It's like a constant, mild pins-and-needles feeling. It's not too bothersome, but it's definitely odd. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0003401,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a gentle electric buzz going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040283,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a gentle electric buzz going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040282,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a gentle electric buzz going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I constantly have a gentle electric buzz going on. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. I've also noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"The muscle cramps have continued this week, and they're happening more frequently. They're still mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be quite sharp and sudden. It's starting to affect my daily activities. On top of that, I've been feeling more fatigued than usual. Even with enough rest, I find myself needing extra naps and struggling to keep up with my usual routine."
HP:0012378,"The muscle cramps have continued this week, and they're happening more frequently. They're still mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be quite sharp and sudden. It's starting to affect my daily activities. On top of that, I've been feeling more fatigued than usual. Even with enough rest, I find myself needing extra naps and struggling to keep up with my usual routine."
HP:0012378,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The muscle cramps are still happening, and they're really starting to interfere with my daily life. The fatigue has also worsened. I feel tired all the time, even after a full night's sleep. It's frustrating because I want to do so much, but my energy levels just won't cooperate."
HP:0002315,"This week, a new symptom has appeared: headaches. They're like this persistent ache in my head that won't go away. It's not too severe, but it's a constant nagging discomfort. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as lush and healthy as it used to be."
HP:0002225,"This week, a new symptom has appeared: headaches. They're like this persistent ache in my head that won't go away. It's not too severe, but it's a constant nagging discomfort. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as lush and healthy as it used to be."
HP:0002299,"This week, a new symptom has appeared: headaches. They're like this persistent ache in my head that won't go away. It's not too severe, but it's a constant nagging discomfort. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as lush and healthy as it used to be."
HP:0001808,"The muscle cramps, fatigue, headaches, and hair changes have persisted this week. It's been tough, but I'm doing my best to manage. On top of that, I've noticed that my nails have become more brittle and prone to breaking. It's frustrating because they used to be stronger. It's just another strange thing that's happening to me."
HP:0003394,"The symptoms have intensified this week. The muscle cramps are nearly constant, and the fatigue and headaches are at their worst. It's really affecting my daily life. The hair changes, brittle nails, and other symptoms continue as well. It can be challenging to stay positive, but I'm determined to find ways to cope and maintain a good quality of life."
HP:0002027,"This week, a new symptom has joined the mix: abdominal pain. It's a dull ache that comes and goes around my stomach area. It's not too severe, but it's uncomfortable. The muscle cramps, fatigue, headaches, hair changes, and brittle nails are all still there, as well. It feels like my body is going through a lot right now."
HP:0002597,"Hello, my dear friend! I wanted to share something that has been happening to me lately. It's been a bit of a challenging week, to be honest. I've been experiencing these strange muscle twitches all over my body. It's like my muscles are having their own little dance parties! They come and go, and although they don't hurt, they're quite noticeable. My doctor thinks it might be related to my calcium levels."
HP:0003401,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm also experiencing tingling sensations in my fingers and toes. It's like a constant, gentle pins-and-needles feeling. It's not too bothersome, but it's definitely odd. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040283,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm also experiencing tingling sensations in my fingers and toes. It's like a constant, gentle pins-and-needles feeling. It's not too bothersome, but it's definitely odd. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040282,"Things have changed a bit since last week. The muscle twitches are still there, but now I'm also experiencing tingling sensations in my fingers and toes. It's like a constant, gentle pins-and-needles feeling. It's not too bothersome, but it's definitely odd. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0003401,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I have a little electric current running through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. Additionally, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it difficult to move around comfortably."
HP:0040283,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I have a little electric current running through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. Additionally, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it difficult to move around comfortably."
HP:0040282,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I have a little electric current running through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. Additionally, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it difficult to move around comfortably."
HP:0003394,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like I have a little electric current running through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be uncomfortable. Additionally, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it difficult to move around comfortably."
HP:0003394,"The muscle cramps have continued this week, and they're happening more frequently. They're mainly in my legs, but I'm also experiencing them in my hands now. The cramps can be sharp and sudden. It's starting to impact my daily activities. In addition, I've been feeling more fatigued than usual. Even with adequate rest, I find myself needing more naps and struggling to keep up with my regular routine."
HP:0012378,"The muscle cramps have continued this week, and they're happening more frequently. They're mainly in my legs, but I'm also experiencing them in my hands now. The cramps can be sharp and sudden. It's starting to impact my daily activities. In addition, I've been feeling more fatigued than usual. Even with adequate rest, I find myself needing more naps and struggling to keep up with my regular routine."
HP:0012378,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The muscle cramps persist, and they're really starting to interfere with my daily life. The fatigue has also worsened. I feel tired all the time, even after a full night's sleep. It's frustrating because I want to do so much, but my energy levels just won't cooperate."
HP:0002315,"This week, a new symptom has appeared: headaches. They're like these dull aches in my head that linger. They're not too severe, but they can be persistent. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as lush and vibrant as it used to be."
HP:0002225,"This week, a new symptom has appeared: headaches. They're like these dull aches in my head that linger. They're not too severe, but they can be persistent. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as lush and vibrant as it used to be."
HP:0002299,"This week, a new symptom has appeared: headaches. They're like these dull aches in my head that linger. They're not too severe, but they can be persistent. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as lush and vibrant as it used to be."
HP:0001808,"The muscle cramps, fatigue, headaches, and hair changes have persisted this week. It's been challenging, but I'm doing my best to manage. On top of that, I've noticed that my nails have become more brittle and prone to breakage. They used to be stronger, but now they're more fragile. It's just another thing that's changed."
HP:0003394,"The symptoms have intensified this week. The muscle cramps are nearly constant, and the fatigue and headaches are at their worst. It's really affecting my daily life. The hair changes, brittle nails, and other symptoms continue as well. It can be difficult to stay positive, but I'm determined to find ways to cope and maintain a good quality of life."
HP:0002027,"This week, a new symptom has joined the mix: abdominal pain. It's a dull ache that comes and goes in my stomach area. It's not too severe, but it can be uncomfortable. The muscle cramps, fatigue, headaches, hair changes, and brittle nails are all still there, as well. It feels like my body is going through a lot right now."
HP:0002597,"Hey there, my dear friend! I wanted to share something that has been happening to me lately. It's been a bit of a confusing week, to be honest. I've been having these muscle twitches all over my body. It's like my muscles are doing a secret dance without my permission! They come and go, and although they don't hurt, they're quite noticeable. My doctor thinks it might have something to do with my calcium levels."
HP:0003401,"Things have changed a bit since last week. The muscle twitches are still present, but now I'm also experiencing tingling sensations in my fingers and toes. It's like tiny pins and needles tickling me. It's not too bothersome, but it's definitely strange. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040283,"Things have changed a bit since last week. The muscle twitches are still present, but now I'm also experiencing tingling sensations in my fingers and toes. It's like tiny pins and needles tickling me. It's not too bothersome, but it's definitely strange. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0040282,"Things have changed a bit since last week. The muscle twitches are still present, but now I'm also experiencing tingling sensations in my fingers and toes. It's like tiny pins and needles tickling me. It's not too bothersome, but it's definitely strange. My doctor mentioned that it might be related to my calcium levels dropping."
HP:0003401,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like a gentle electric current flowing through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be a bit annoying. In addition, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040283,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like a gentle electric current flowing through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be a bit annoying. In addition, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0040282,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like a gentle electric current flowing through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be a bit annoying. In addition, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"This week, the tingling sensations in my fingers and toes have become more frequent. It's like a gentle electric current flowing through them. Sometimes it feels like my fingers and toes have fallen asleep. It's not painful, but it can be a bit annoying. In addition, I've noticed that I'm getting muscle cramps more often, especially in my legs. They can be quite painful and make it hard to move around comfortably."
HP:0003394,"The muscle cramps have continued this week, and they're happening more frequently. They're mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be sharp and sudden. It's starting to affect my daily activities. On top of that, I've been feeling more fatigued than usual. Even with a good night's sleep, I find myself needing extra rest and struggling to keep up with my usual routine."
HP:0012378,"The muscle cramps have continued this week, and they're happening more frequently. They're mainly in my legs, but now I'm also experiencing them in my hands. The cramps can be sharp and sudden. It's starting to affect my daily activities. On top of that, I've been feeling more fatigued than usual. Even with a good night's sleep, I find myself needing extra rest and struggling to keep up with my usual routine."
HP:0012378,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The muscle cramps persist, and they're really starting to interfere with my daily life. The fatigue has also worsened. I feel tired all the time, even after a full night's sleep. It's frustrating because I have so many things I want to do, but my energy levels just won't cooperate."
HP:0002315,"This week, a new symptom has appeared: headaches. They're like these dull throbbing pains in my head. They're not too severe, but they can be persistent. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as healthy-looking as it used to be."
HP:0002225,"This week, a new symptom has appeared: headaches. They're like these dull throbbing pains in my head. They're not too severe, but they can be persistent. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as healthy-looking as it used to be."
HP:0002299,"This week, a new symptom has appeared: headaches. They're like these dull throbbing pains in my head. They're not too severe, but they can be persistent. Along with that, I've noticed that my hair has become thinner and more brittle. It's not as healthy-looking as it used to be."
HP:0001808,"The muscle cramps, fatigue, headaches, and hair changes have persisted this week. It's been tough, but I'm doing my best to manage. On top of that, I've noticed that my nails have become more brittle and prone to breaking. They used to be stronger, but now they're more fragile. It's just another thing that has changed."
HP:0003394,"The symptoms have intensified this week. The muscle cramps are nearly constant, and the fatigue and headaches are at their worst. It's really affecting my daily life. The hair changes, brittle nails, and other symptoms continue as well. It can be difficult to stay positive, but I'm determined to find ways to cope and maintain a good quality of life."
HP:0002027,"This week, a new symptom has joined the mix: abdominal pain. It's a dull ache in my stomach area that comes and goes. It's not too severe, but it can be uncomfortable. The muscle cramps, fatigue, headaches, hair changes, and brittle nails are all still there, as well. It feels like my body is going through a lot right now."
HP:0003418,"Hey, my friend! I've been going through something quite concerning lately, and I wanted to share it with you. It's been a strange week. I've noticed that my lower back has been aching quite a bit. It's not like a regular muscle ache; it's deeper and feels like it's coming from inside my body. I don't remember doing anything to hurt my back, so it's got me a bit worried."
HP:0000822,"The back pain from last week has continued, and it's become a more persistent discomfort. It feels like a dull ache that just won't go away. On top of that, I've noticed that my blood pressure is higher than usual. I'm not sure what's causing it, but I plan to see a doctor soon to get it checked out."
HP:0012378,"This week, the back pain and high blood pressure have been a constant presence. The back pain is starting to make it difficult for me to find a comfortable position to sit or lie down. It's frustrating because I can't seem to get any relief from it. I've also been feeling more tired than usual, even after a good night's sleep. It's like I never really feel fully rested."
HP:0001824,"The symptoms haven't improved this week. The back pain and high blood pressure are still there, and the fatigue is relentless. I've also noticed that my appetite has decreased, and I'm not enjoying my meals like I used to. It's like my taste buds have lost their zest. I'm concerned about these changes in my body."
HP:0003270,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The back pain and high blood pressure have persisted, and I'm feeling more fatigued than ever. On top of that, I've noticed that my abdomen feels bloated and swollen. It's like there's some pressure building up inside me."
HP:0000790,"This week, a new symptom has appeared: blood in my urine. It was quite a shock to see it, and it's made me really anxious. I know it's not normal, and I plan to see a doctor about it right away. The back pain, high blood pressure, fatigue, decreased appetite, and abdominal bloating continue as well."
HP:0000787,"I went to see a doctor this week about the blood in my urine. They ran some tests and confirmed that I have kidney stones. No wonder I've been in so much pain! They said that kidney stones can sometimes be related to kidney problems, so they want to keep an eye on it. My blood pressure is still high, and my energy levels are still low. I'm trying my best to manage everything."
HP:0000103,"This week, a new symptom has emerged: frequent urination. I find myself needing to go to the bathroom more often, and it can be quite inconvenient. The back pain, high blood pressure, fatigue, decreased appetite, abdominal bloating, blood in my urine, and kidney stones are all still there. It feels like my body is going through so much."
HP:0003418,"Hey there, my dear friend! I wanted to share something that's been happening to me lately. It's been a bit of a puzzling week. I've been having this persistent pain in my lower back. It's like a dull ache that won't go away. I can't recall doing anything to hurt my back, so it's got me a little worried. I'm not sure what's causing it, but I'll keep an eye on it."
HP:0000822,"The back pain from last week is still there, and it's become more constant. It feels like a dull throbbing pain that lingers all the time. On top of that, I've noticed that my blood pressure is higher than usual. It's a bit concerning because I've never had issues with it before. I'm planning to see a doctor to get it checked out."
HP:0012378,"This week, the back pain and high blood pressure have continued. The back pain is making it hard for me to find a comfortable position to sit or lie down. I've also been feeling more tired than usual, even after a good night's sleep. It's like I never really feel fully rested. I'm not sure what's going on, but I'm starting to get worried."
HP:0001824,"The symptoms from the previous weeks are still persisting. The back pain is quite bothersome, and it's making it difficult to focus on anything else. My blood pressure is still higher than usual, and the fatigue is really getting to me. I've also noticed that I don't have much of an appetite. I used to enjoy my meals, but now I find myself not feeling hungry as often."
HP:0003270,"I've entered into the intermediate phase now, and the symptoms are becoming more noticeable. The back pain and high blood pressure continue to bother me. On top of that, I've noticed that my abdomen feels bloated and swollen. It's like there's some pressure building up inside me, and it's quite uncomfortable."
HP:0000790,"This week, a new symptom has appeared: blood in my urine. It was quite alarming to see it, and it's made me really anxious. I know it's not normal, so I've decided to see a doctor about it right away. The back pain, high blood pressure, fatigue, decreased appetite, and abdominal bloating are all still there. It feels like my body is going through so much."
HP:0000787,"I went to see a doctor this week about the blood in my urine. They ran some tests and confirmed that I have kidney stones. No wonder I've been in so much pain! They said that kidney stones can sometimes be related to kidney problems, so they want to keep an eye on it. My blood pressure is still high, and my energy levels are still low. I'm trying my best to manage everything."
HP:0000103,"This week, a new symptom has emerged: frequent urination. I find myself needing to go to the bathroom more often, and it can be quite inconvenient. The back pain, high blood pressure, fatigue, decreased appetite, abdominal bloating, blood in my urine, and kidney stones are all still there. It feels like my body is going through so much."
